img,cls
D:/Doan/fashion-dataset/images\10045.jpg,images
D:/Doan/fashion-dataset/images\10046.jpg,images
D:/Doan/fashion-dataset/images\10047.jpg,images
D:/Doan/fashion-dataset/images\10048.jpg,images
D:/Doan/fashion-dataset/images\10049.jpg,images
D:/Doan/fashion-dataset/images\10050.jpg,images
D:/Doan/fashion-dataset/images\10051.jpg,images
D:/Doan/fashion-dataset/images\10052.jpg,images
D:/Doan/fashion-dataset/images\10053.jpg,images
D:/Doan/fashion-dataset/images\10054.jpg,images
D:/Doan/fashion-dataset/images\10056.jpg,images
D:/Doan/fashion-dataset/images\10057.jpg,images
D:/Doan/fashion-dataset/images\10058.jpg,images
D:/Doan/fashion-dataset/images\10059.jpg,images
D:/Doan/fashion-dataset/images\10060.jpg,images
D:/Doan/fashion-dataset/images\10061.jpg,images
D:/Doan/fashion-dataset/images\10062.jpg,images
D:/Doan/fashion-dataset/images\10063.jpg,images
D:/Doan/fashion-dataset/images\10064.jpg,images
D:/Doan/fashion-dataset/images\10065.jpg,images
D:/Doan/fashion-dataset/images\10066.jpg,images
D:/Doan/fashion-dataset/images\10067.jpg,images
D:/Doan/fashion-dataset/images\10068.jpg,images
D:/Doan/fashion-dataset/images\10069.jpg,images
D:/Doan/fashion-dataset/images\10070.jpg,images
D:/Doan/fashion-dataset/images\10071.jpg,images
D:/Doan/fashion-dataset/images\10072.jpg,images
D:/Doan/fashion-dataset/images\10073.jpg,images
D:/Doan/fashion-dataset/images\10074.jpg,images
D:/Doan/fashion-dataset/images\10075.jpg,images
D:/Doan/fashion-dataset/images\10076.jpg,images
D:/Doan/fashion-dataset/images\10078.jpg,images
D:/Doan/fashion-dataset/images\10079.jpg,images
D:/Doan/fashion-dataset/images\10080.jpg,images
D:/Doan/fashion-dataset/images\10081.jpg,images
D:/Doan/fashion-dataset/images\10082.jpg,images
D:/Doan/fashion-dataset/images\10083.jpg,images
D:/Doan/fashion-dataset/images\10088.jpg,images
D:/Doan/fashion-dataset/images\10089.jpg,images
D:/Doan/fashion-dataset/images\10092.jpg,images
D:/Doan/fashion-dataset/images\10093.jpg,images
D:/Doan/fashion-dataset/images\10095.jpg,images
D:/Doan/fashion-dataset/images\10096.jpg,images
D:/Doan/fashion-dataset/images\10097.jpg,images
D:/Doan/fashion-dataset/images\10098.jpg,images
D:/Doan/fashion-dataset/images\10099.jpg,images
D:/Doan/fashion-dataset/images\10101.jpg,images
D:/Doan/fashion-dataset/images\10102.jpg,images
D:/Doan/fashion-dataset/images\10104.jpg,images
D:/Doan/fashion-dataset/images\10105.jpg,images
D:/Doan/fashion-dataset/images\10106.jpg,images
D:/Doan/fashion-dataset/images\10107.jpg,images
D:/Doan/fashion-dataset/images\10108.jpg,images
D:/Doan/fashion-dataset/images\10109.jpg,images
D:/Doan/fashion-dataset/images\10110.jpg,images
D:/Doan/fashion-dataset/images\10111.jpg,images
D:/Doan/fashion-dataset/images\10112.jpg,images
D:/Doan/fashion-dataset/images\10113.jpg,images
D:/Doan/fashion-dataset/images\10114.jpg,images
D:/Doan/fashion-dataset/images\10115.jpg,images
D:/Doan/fashion-dataset/images\10117.jpg,images
D:/Doan/fashion-dataset/images\10122.jpg,images
D:/Doan/fashion-dataset/images\10125.jpg,images
D:/Doan/fashion-dataset/images\10126.jpg,images
D:/Doan/fashion-dataset/images\10127.jpg,images
D:/Doan/fashion-dataset/images\10128.jpg,images
D:/Doan/fashion-dataset/images\10129.jpg,images
D:/Doan/fashion-dataset/images\10130.jpg,images
D:/Doan/fashion-dataset/images\10131.jpg,images
D:/Doan/fashion-dataset/images\10133.jpg,images
D:/Doan/fashion-dataset/images\10134.jpg,images
D:/Doan/fashion-dataset/images\10135.jpg,images
D:/Doan/fashion-dataset/images\10136.jpg,images
D:/Doan/fashion-dataset/images\10137.jpg,images
D:/Doan/fashion-dataset/images\10138.jpg,images
D:/Doan/fashion-dataset/images\10139.jpg,images
D:/Doan/fashion-dataset/images\10140.jpg,images
D:/Doan/fashion-dataset/images\10141.jpg,images
D:/Doan/fashion-dataset/images\10142.jpg,images
D:/Doan/fashion-dataset/images\10143.jpg,images
D:/Doan/fashion-dataset/images\10144.jpg,images
D:/Doan/fashion-dataset/images\10145.jpg,images
D:/Doan/fashion-dataset/images\10146.jpg,images
D:/Doan/fashion-dataset/images\10147.jpg,images
D:/Doan/fashion-dataset/images\10148.jpg,images
D:/Doan/fashion-dataset/images\10149.jpg,images
D:/Doan/fashion-dataset/images\10150.jpg,images
D:/Doan/fashion-dataset/images\10151.jpg,images
D:/Doan/fashion-dataset/images\10152.jpg,images
D:/Doan/fashion-dataset/images\10153.jpg,images
D:/Doan/fashion-dataset/images\10154.jpg,images
D:/Doan/fashion-dataset/images\10155.jpg,images
D:/Doan/fashion-dataset/images\10156.jpg,images
D:/Doan/fashion-dataset/images\10157.jpg,images
D:/Doan/fashion-dataset/images\10158.jpg,images
D:/Doan/fashion-dataset/images\10159.jpg,images
D:/Doan/fashion-dataset/images\10160.jpg,images
D:/Doan/fashion-dataset/images\10161.jpg,images
D:/Doan/fashion-dataset/images\10162.jpg,images
D:/Doan/fashion-dataset/images\10164.jpg,images
D:/Doan/fashion-dataset/images\10166.jpg,images
D:/Doan/fashion-dataset/images\10167.jpg,images
D:/Doan/fashion-dataset/images\10168.jpg,images
D:/Doan/fashion-dataset/images\10169.jpg,images
D:/Doan/fashion-dataset/images\10170.jpg,images
D:/Doan/fashion-dataset/images\10171.jpg,images
D:/Doan/fashion-dataset/images\10172.jpg,images
D:/Doan/fashion-dataset/images\10173.jpg,images
D:/Doan/fashion-dataset/images\10174.jpg,images
D:/Doan/fashion-dataset/images\10175.jpg,images
D:/Doan/fashion-dataset/images\10176.jpg,images
D:/Doan/fashion-dataset/images\10177.jpg,images
D:/Doan/fashion-dataset/images\10178.jpg,images
D:/Doan/fashion-dataset/images\10179.jpg,images
D:/Doan/fashion-dataset/images\10180.jpg,images
D:/Doan/fashion-dataset/images\10181.jpg,images
D:/Doan/fashion-dataset/images\10182.jpg,images
D:/Doan/fashion-dataset/images\10183.jpg,images
D:/Doan/fashion-dataset/images\10184.jpg,images
D:/Doan/fashion-dataset/images\10185.jpg,images
D:/Doan/fashion-dataset/images\10186.jpg,images
D:/Doan/fashion-dataset/images\10187.jpg,images
D:/Doan/fashion-dataset/images\10188.jpg,images
D:/Doan/fashion-dataset/images\10189.jpg,images
D:/Doan/fashion-dataset/images\10190.jpg,images
D:/Doan/fashion-dataset/images\10192.jpg,images
D:/Doan/fashion-dataset/images\10193.jpg,images
D:/Doan/fashion-dataset/images\10194.jpg,images
D:/Doan/fashion-dataset/images\10195.jpg,images
D:/Doan/fashion-dataset/images\10196.jpg,images
D:/Doan/fashion-dataset/images\10197.jpg,images
D:/Doan/fashion-dataset/images\10198.jpg,images
D:/Doan/fashion-dataset/images\10199.jpg,images
D:/Doan/fashion-dataset/images\10200.jpg,images
D:/Doan/fashion-dataset/images\10202.jpg,images
D:/Doan/fashion-dataset/images\10203.jpg,images
D:/Doan/fashion-dataset/images\10204.jpg,images
D:/Doan/fashion-dataset/images\10205.jpg,images
D:/Doan/fashion-dataset/images\10207.jpg,images
D:/Doan/fashion-dataset/images\10208.jpg,images
D:/Doan/fashion-dataset/images\10209.jpg,images
D:/Doan/fashion-dataset/images\10210.jpg,images
D:/Doan/fashion-dataset/images\10211.jpg,images
D:/Doan/fashion-dataset/images\10213.jpg,images
D:/Doan/fashion-dataset/images\10214.jpg,images
D:/Doan/fashion-dataset/images\10215.jpg,images
D:/Doan/fashion-dataset/images\10216.jpg,images
D:/Doan/fashion-dataset/images\10217.jpg,images
D:/Doan/fashion-dataset/images\10219.jpg,images
D:/Doan/fashion-dataset/images\10220.jpg,images
D:/Doan/fashion-dataset/images\10221.jpg,images
D:/Doan/fashion-dataset/images\10222.jpg,images
D:/Doan/fashion-dataset/images\10223.jpg,images
D:/Doan/fashion-dataset/images\10224.jpg,images
D:/Doan/fashion-dataset/images\10225.jpg,images
D:/Doan/fashion-dataset/images\10226.jpg,images
D:/Doan/fashion-dataset/images\10227.jpg,images
D:/Doan/fashion-dataset/images\10228.jpg,images
D:/Doan/fashion-dataset/images\10229.jpg,images
D:/Doan/fashion-dataset/images\10230.jpg,images
D:/Doan/fashion-dataset/images\10231.jpg,images
D:/Doan/fashion-dataset/images\10235.jpg,images
D:/Doan/fashion-dataset/images\10236.jpg,images
D:/Doan/fashion-dataset/images\10237.jpg,images
D:/Doan/fashion-dataset/images\10238.jpg,images
D:/Doan/fashion-dataset/images\10239.jpg,images
D:/Doan/fashion-dataset/images\10240.jpg,images
D:/Doan/fashion-dataset/images\10241.jpg,images
D:/Doan/fashion-dataset/images\10242.jpg,images
D:/Doan/fashion-dataset/images\10243.jpg,images
D:/Doan/fashion-dataset/images\10244.jpg,images
D:/Doan/fashion-dataset/images\10245.jpg,images
D:/Doan/fashion-dataset/images\10246.jpg,images
D:/Doan/fashion-dataset/images\10247.jpg,images
D:/Doan/fashion-dataset/images\10248.jpg,images
D:/Doan/fashion-dataset/images\10249.jpg,images
D:/Doan/fashion-dataset/images\10250.jpg,images
D:/Doan/fashion-dataset/images\10252.jpg,images
D:/Doan/fashion-dataset/images\10253.jpg,images
D:/Doan/fashion-dataset/images\10254.jpg,images
D:/Doan/fashion-dataset/images\10255.jpg,images
D:/Doan/fashion-dataset/images\10256.jpg,images
D:/Doan/fashion-dataset/images\10257.jpg,images
D:/Doan/fashion-dataset/images\10258.jpg,images
D:/Doan/fashion-dataset/images\10259.jpg,images
D:/Doan/fashion-dataset/images\10260.jpg,images
D:/Doan/fashion-dataset/images\10261.jpg,images
D:/Doan/fashion-dataset/images\10262.jpg,images
D:/Doan/fashion-dataset/images\10263.jpg,images
D:/Doan/fashion-dataset/images\10264.jpg,images
D:/Doan/fashion-dataset/images\10265.jpg,images
D:/Doan/fashion-dataset/images\10266.jpg,images
D:/Doan/fashion-dataset/images\10267.jpg,images
D:/Doan/fashion-dataset/images\10268.jpg,images
D:/Doan/fashion-dataset/images\10269.jpg,images
D:/Doan/fashion-dataset/images\10270.jpg,images
D:/Doan/fashion-dataset/images\10271.jpg,images
D:/Doan/fashion-dataset/images\10272.jpg,images
D:/Doan/fashion-dataset/images\10273.jpg,images
D:/Doan/fashion-dataset/images\10274.jpg,images
D:/Doan/fashion-dataset/images\10275.jpg,images
D:/Doan/fashion-dataset/images\10276.jpg,images
D:/Doan/fashion-dataset/images\10277.jpg,images
D:/Doan/fashion-dataset/images\10278.jpg,images
D:/Doan/fashion-dataset/images\10279.jpg,images
D:/Doan/fashion-dataset/images\10280.jpg,images
D:/Doan/fashion-dataset/images\10281.jpg,images
D:/Doan/fashion-dataset/images\10282.jpg,images
D:/Doan/fashion-dataset/images\10283.jpg,images
D:/Doan/fashion-dataset/images\10284.jpg,images
D:/Doan/fashion-dataset/images\10285.jpg,images
D:/Doan/fashion-dataset/images\10286.jpg,images
D:/Doan/fashion-dataset/images\10287.jpg,images
D:/Doan/fashion-dataset/images\10288.jpg,images
D:/Doan/fashion-dataset/images\10289.jpg,images
D:/Doan/fashion-dataset/images\10290.jpg,images
D:/Doan/fashion-dataset/images\10292.jpg,images
D:/Doan/fashion-dataset/images\10293.jpg,images
D:/Doan/fashion-dataset/images\10294.jpg,images
D:/Doan/fashion-dataset/images\10295.jpg,images
D:/Doan/fashion-dataset/images\10296.jpg,images
D:/Doan/fashion-dataset/images\10297.jpg,images
D:/Doan/fashion-dataset/images\10298.jpg,images
D:/Doan/fashion-dataset/images\10299.jpg,images
D:/Doan/fashion-dataset/images\10300.jpg,images
D:/Doan/fashion-dataset/images\10301.jpg,images
D:/Doan/fashion-dataset/images\10302.jpg,images
D:/Doan/fashion-dataset/images\10303.jpg,images
D:/Doan/fashion-dataset/images\10304.jpg,images
D:/Doan/fashion-dataset/images\10305.jpg,images
D:/Doan/fashion-dataset/images\10306.jpg,images
D:/Doan/fashion-dataset/images\10307.jpg,images
D:/Doan/fashion-dataset/images\10308.jpg,images
D:/Doan/fashion-dataset/images\10309.jpg,images
D:/Doan/fashion-dataset/images\10312.jpg,images
D:/Doan/fashion-dataset/images\10313.jpg,images
D:/Doan/fashion-dataset/images\10314.jpg,images
D:/Doan/fashion-dataset/images\10315.jpg,images
D:/Doan/fashion-dataset/images\10316.jpg,images
D:/Doan/fashion-dataset/images\10317.jpg,images
D:/Doan/fashion-dataset/images\10318.jpg,images
D:/Doan/fashion-dataset/images\10319.jpg,images
D:/Doan/fashion-dataset/images\10320.jpg,images
D:/Doan/fashion-dataset/images\10321.jpg,images
D:/Doan/fashion-dataset/images\10322.jpg,images
D:/Doan/fashion-dataset/images\10323.jpg,images
D:/Doan/fashion-dataset/images\10324.jpg,images
D:/Doan/fashion-dataset/images\10325.jpg,images
D:/Doan/fashion-dataset/images\10326.jpg,images
D:/Doan/fashion-dataset/images\10327.jpg,images
D:/Doan/fashion-dataset/images\10328.jpg,images
D:/Doan/fashion-dataset/images\10329.jpg,images
D:/Doan/fashion-dataset/images\10330.jpg,images
D:/Doan/fashion-dataset/images\10331.jpg,images
D:/Doan/fashion-dataset/images\10332.jpg,images
D:/Doan/fashion-dataset/images\10333.jpg,images
D:/Doan/fashion-dataset/images\10334.jpg,images
D:/Doan/fashion-dataset/images\10335.jpg,images
D:/Doan/fashion-dataset/images\10336.jpg,images
D:/Doan/fashion-dataset/images\10338.jpg,images
D:/Doan/fashion-dataset/images\10339.jpg,images
D:/Doan/fashion-dataset/images\10340.jpg,images
D:/Doan/fashion-dataset/images\10341.jpg,images
D:/Doan/fashion-dataset/images\10342.jpg,images
D:/Doan/fashion-dataset/images\10343.jpg,images
D:/Doan/fashion-dataset/images\10344.jpg,images
D:/Doan/fashion-dataset/images\10345.jpg,images
D:/Doan/fashion-dataset/images\10346.jpg,images
D:/Doan/fashion-dataset/images\10347.jpg,images
D:/Doan/fashion-dataset/images\10348.jpg,images
D:/Doan/fashion-dataset/images\10350.jpg,images
D:/Doan/fashion-dataset/images\10351.jpg,images
D:/Doan/fashion-dataset/images\10352.jpg,images
D:/Doan/fashion-dataset/images\10354.jpg,images
D:/Doan/fashion-dataset/images\10355.jpg,images
D:/Doan/fashion-dataset/images\10356.jpg,images
D:/Doan/fashion-dataset/images\10357.jpg,images
D:/Doan/fashion-dataset/images\10358.jpg,images
D:/Doan/fashion-dataset/images\10359.jpg,images
D:/Doan/fashion-dataset/images\10360.jpg,images
D:/Doan/fashion-dataset/images\10361.jpg,images
D:/Doan/fashion-dataset/images\10362.jpg,images
D:/Doan/fashion-dataset/images\10363.jpg,images
D:/Doan/fashion-dataset/images\10364.jpg,images
D:/Doan/fashion-dataset/images\10365.jpg,images
D:/Doan/fashion-dataset/images\10366.jpg,images
D:/Doan/fashion-dataset/images\10367.jpg,images
D:/Doan/fashion-dataset/images\10369.jpg,images
D:/Doan/fashion-dataset/images\10370.jpg,images
D:/Doan/fashion-dataset/images\10371.jpg,images
D:/Doan/fashion-dataset/images\10372.jpg,images
D:/Doan/fashion-dataset/images\10373.jpg,images
D:/Doan/fashion-dataset/images\10374.jpg,images
D:/Doan/fashion-dataset/images\10376.jpg,images
D:/Doan/fashion-dataset/images\10377.jpg,images
D:/Doan/fashion-dataset/images\10378.jpg,images
D:/Doan/fashion-dataset/images\10379.jpg,images
D:/Doan/fashion-dataset/images\10380.jpg,images
D:/Doan/fashion-dataset/images\10381.jpg,images
D:/Doan/fashion-dataset/images\10382.jpg,images
D:/Doan/fashion-dataset/images\10383.jpg,images
D:/Doan/fashion-dataset/images\10384.jpg,images
D:/Doan/fashion-dataset/images\10385.jpg,images
D:/Doan/fashion-dataset/images\10386.jpg,images
D:/Doan/fashion-dataset/images\10387.jpg,images
D:/Doan/fashion-dataset/images\10388.jpg,images
D:/Doan/fashion-dataset/images\10389.jpg,images
D:/Doan/fashion-dataset/images\10390.jpg,images
D:/Doan/fashion-dataset/images\10391.jpg,images
D:/Doan/fashion-dataset/images\10392.jpg,images
D:/Doan/fashion-dataset/images\10393.jpg,images
D:/Doan/fashion-dataset/images\10394.jpg,images
D:/Doan/fashion-dataset/images\10395.jpg,images
D:/Doan/fashion-dataset/images\10396.jpg,images
D:/Doan/fashion-dataset/images\10397.jpg,images
D:/Doan/fashion-dataset/images\10398.jpg,images
D:/Doan/fashion-dataset/images\10399.jpg,images
D:/Doan/fashion-dataset/images\10400.jpg,images
D:/Doan/fashion-dataset/images\10401.jpg,images
D:/Doan/fashion-dataset/images\10402.jpg,images
D:/Doan/fashion-dataset/images\10403.jpg,images
D:/Doan/fashion-dataset/images\10404.jpg,images
D:/Doan/fashion-dataset/images\10405.jpg,images
D:/Doan/fashion-dataset/images\10406.jpg,images
D:/Doan/fashion-dataset/images\10407.jpg,images
D:/Doan/fashion-dataset/images\10408.jpg,images
D:/Doan/fashion-dataset/images\10409.jpg,images
D:/Doan/fashion-dataset/images\10410.jpg,images
D:/Doan/fashion-dataset/images\10411.jpg,images
D:/Doan/fashion-dataset/images\10412.jpg,images
D:/Doan/fashion-dataset/images\10413.jpg,images
D:/Doan/fashion-dataset/images\10414.jpg,images
D:/Doan/fashion-dataset/images\10415.jpg,images
D:/Doan/fashion-dataset/images\10418.jpg,images
D:/Doan/fashion-dataset/images\10421.jpg,images
D:/Doan/fashion-dataset/images\10423.jpg,images
D:/Doan/fashion-dataset/images\10424.jpg,images
D:/Doan/fashion-dataset/images\10425.jpg,images
D:/Doan/fashion-dataset/images\10426.jpg,images
D:/Doan/fashion-dataset/images\10427.jpg,images
D:/Doan/fashion-dataset/images\10428.jpg,images
D:/Doan/fashion-dataset/images\10429.jpg,images
D:/Doan/fashion-dataset/images\10430.jpg,images
D:/Doan/fashion-dataset/images\10431.jpg,images
D:/Doan/fashion-dataset/images\10432.jpg,images
D:/Doan/fashion-dataset/images\10433.jpg,images
D:/Doan/fashion-dataset/images\10434.jpg,images
D:/Doan/fashion-dataset/images\10435.jpg,images
D:/Doan/fashion-dataset/images\10436.jpg,images
D:/Doan/fashion-dataset/images\10437.jpg,images
D:/Doan/fashion-dataset/images\10438.jpg,images
D:/Doan/fashion-dataset/images\10439.jpg,images
D:/Doan/fashion-dataset/images\10440.jpg,images
D:/Doan/fashion-dataset/images\10441.jpg,images
D:/Doan/fashion-dataset/images\10442.jpg,images
D:/Doan/fashion-dataset/images\10443.jpg,images
D:/Doan/fashion-dataset/images\10444.jpg,images
D:/Doan/fashion-dataset/images\10445.jpg,images
D:/Doan/fashion-dataset/images\10446.jpg,images
D:/Doan/fashion-dataset/images\10447.jpg,images
D:/Doan/fashion-dataset/images\10448.jpg,images
D:/Doan/fashion-dataset/images\10449.jpg,images
D:/Doan/fashion-dataset/images\10450.jpg,images
D:/Doan/fashion-dataset/images\10451.jpg,images
D:/Doan/fashion-dataset/images\10452.jpg,images
D:/Doan/fashion-dataset/images\10453.jpg,images
D:/Doan/fashion-dataset/images\10454.jpg,images
D:/Doan/fashion-dataset/images\10455.jpg,images
D:/Doan/fashion-dataset/images\10456.jpg,images
D:/Doan/fashion-dataset/images\10457.jpg,images
D:/Doan/fashion-dataset/images\10458.jpg,images
D:/Doan/fashion-dataset/images\10459.jpg,images
D:/Doan/fashion-dataset/images\10460.jpg,images
D:/Doan/fashion-dataset/images\10461.jpg,images
D:/Doan/fashion-dataset/images\10462.jpg,images
D:/Doan/fashion-dataset/images\10463.jpg,images
D:/Doan/fashion-dataset/images\10464.jpg,images
D:/Doan/fashion-dataset/images\10465.jpg,images
D:/Doan/fashion-dataset/images\10466.jpg,images
D:/Doan/fashion-dataset/images\10467.jpg,images
D:/Doan/fashion-dataset/images\10468.jpg,images
D:/Doan/fashion-dataset/images\10469.jpg,images
D:/Doan/fashion-dataset/images\10470.jpg,images
D:/Doan/fashion-dataset/images\10471.jpg,images
D:/Doan/fashion-dataset/images\10472.jpg,images
D:/Doan/fashion-dataset/images\10473.jpg,images
D:/Doan/fashion-dataset/images\10474.jpg,images
D:/Doan/fashion-dataset/images\10475.jpg,images
D:/Doan/fashion-dataset/images\10476.jpg,images
D:/Doan/fashion-dataset/images\10477.jpg,images
D:/Doan/fashion-dataset/images\10478.jpg,images
D:/Doan/fashion-dataset/images\10479.jpg,images
D:/Doan/fashion-dataset/images\10480.jpg,images
D:/Doan/fashion-dataset/images\10481.jpg,images
D:/Doan/fashion-dataset/images\10482.jpg,images
D:/Doan/fashion-dataset/images\10483.jpg,images
D:/Doan/fashion-dataset/images\10484.jpg,images
D:/Doan/fashion-dataset/images\10485.jpg,images
D:/Doan/fashion-dataset/images\10486.jpg,images
D:/Doan/fashion-dataset/images\10487.jpg,images
D:/Doan/fashion-dataset/images\10488.jpg,images
D:/Doan/fashion-dataset/images\10489.jpg,images
D:/Doan/fashion-dataset/images\10490.jpg,images
D:/Doan/fashion-dataset/images\10491.jpg,images
D:/Doan/fashion-dataset/images\10492.jpg,images
D:/Doan/fashion-dataset/images\10493.jpg,images
D:/Doan/fashion-dataset/images\10494.jpg,images
D:/Doan/fashion-dataset/images\10495.jpg,images
D:/Doan/fashion-dataset/images\10496.jpg,images
D:/Doan/fashion-dataset/images\10497.jpg,images
D:/Doan/fashion-dataset/images\10498.jpg,images
D:/Doan/fashion-dataset/images\10499.jpg,images
D:/Doan/fashion-dataset/images\10500.jpg,images
D:/Doan/fashion-dataset/images\10501.jpg,images
D:/Doan/fashion-dataset/images\10502.jpg,images
D:/Doan/fashion-dataset/images\10503.jpg,images
D:/Doan/fashion-dataset/images\10504.jpg,images
D:/Doan/fashion-dataset/images\10505.jpg,images
D:/Doan/fashion-dataset/images\10506.jpg,images
D:/Doan/fashion-dataset/images\10507.jpg,images
D:/Doan/fashion-dataset/images\10508.jpg,images
D:/Doan/fashion-dataset/images\10509.jpg,images
D:/Doan/fashion-dataset/images\10510.jpg,images
D:/Doan/fashion-dataset/images\10511.jpg,images
D:/Doan/fashion-dataset/images\10512.jpg,images
D:/Doan/fashion-dataset/images\10513.jpg,images
D:/Doan/fashion-dataset/images\10514.jpg,images
D:/Doan/fashion-dataset/images\10517.jpg,images
D:/Doan/fashion-dataset/images\10533.jpg,images
D:/Doan/fashion-dataset/images\10563.jpg,images
D:/Doan/fashion-dataset/images\10564.jpg,images
D:/Doan/fashion-dataset/images\10565.jpg,images
D:/Doan/fashion-dataset/images\10566.jpg,images
D:/Doan/fashion-dataset/images\10567.jpg,images
D:/Doan/fashion-dataset/images\10568.jpg,images
D:/Doan/fashion-dataset/images\10569.jpg,images
D:/Doan/fashion-dataset/images\10570.jpg,images
D:/Doan/fashion-dataset/images\10571.jpg,images
D:/Doan/fashion-dataset/images\10572.jpg,images
D:/Doan/fashion-dataset/images\10573.jpg,images
D:/Doan/fashion-dataset/images\10574.jpg,images
D:/Doan/fashion-dataset/images\10575.jpg,images
D:/Doan/fashion-dataset/images\10576.jpg,images
D:/Doan/fashion-dataset/images\10577.jpg,images
D:/Doan/fashion-dataset/images\10578.jpg,images
D:/Doan/fashion-dataset/images\10579.jpg,images
D:/Doan/fashion-dataset/images\10580.jpg,images
D:/Doan/fashion-dataset/images\10581.jpg,images
D:/Doan/fashion-dataset/images\10582.jpg,images
D:/Doan/fashion-dataset/images\10583.jpg,images
D:/Doan/fashion-dataset/images\10584.jpg,images
D:/Doan/fashion-dataset/images\10585.jpg,images
D:/Doan/fashion-dataset/images\10587.jpg,images
D:/Doan/fashion-dataset/images\10588.jpg,images
D:/Doan/fashion-dataset/images\10593.jpg,images
D:/Doan/fashion-dataset/images\10594.jpg,images
D:/Doan/fashion-dataset/images\10595.jpg,images
D:/Doan/fashion-dataset/images\10596.jpg,images
D:/Doan/fashion-dataset/images\10597.jpg,images
D:/Doan/fashion-dataset/images\10598.jpg,images
D:/Doan/fashion-dataset/images\10599.jpg,images
D:/Doan/fashion-dataset/images\10601.jpg,images
D:/Doan/fashion-dataset/images\10602.jpg,images
D:/Doan/fashion-dataset/images\10603.jpg,images
D:/Doan/fashion-dataset/images\10604.jpg,images
D:/Doan/fashion-dataset/images\10605.jpg,images
D:/Doan/fashion-dataset/images\10606.jpg,images
D:/Doan/fashion-dataset/images\10607.jpg,images
D:/Doan/fashion-dataset/images\10608.jpg,images
D:/Doan/fashion-dataset/images\10609.jpg,images
D:/Doan/fashion-dataset/images\10610.jpg,images
D:/Doan/fashion-dataset/images\10611.jpg,images
D:/Doan/fashion-dataset/images\10612.jpg,images
D:/Doan/fashion-dataset/images\10613.jpg,images
D:/Doan/fashion-dataset/images\10615.jpg,images
D:/Doan/fashion-dataset/images\10616.jpg,images
D:/Doan/fashion-dataset/images\10618.jpg,images
D:/Doan/fashion-dataset/images\10619.jpg,images
D:/Doan/fashion-dataset/images\10620.jpg,images
D:/Doan/fashion-dataset/images\10621.jpg,images
D:/Doan/fashion-dataset/images\10622.jpg,images
D:/Doan/fashion-dataset/images\10623.jpg,images
D:/Doan/fashion-dataset/images\10624.jpg,images
D:/Doan/fashion-dataset/images\10626.jpg,images
D:/Doan/fashion-dataset/images\10627.jpg,images
D:/Doan/fashion-dataset/images\10628.jpg,images
D:/Doan/fashion-dataset/images\10629.jpg,images
D:/Doan/fashion-dataset/images\10630.jpg,images
D:/Doan/fashion-dataset/images\10631.jpg,images
D:/Doan/fashion-dataset/images\10632.jpg,images
D:/Doan/fashion-dataset/images\10633.jpg,images
D:/Doan/fashion-dataset/images\10634.jpg,images
D:/Doan/fashion-dataset/images\10635.jpg,images
D:/Doan/fashion-dataset/images\10636.jpg,images
D:/Doan/fashion-dataset/images\10637.jpg,images
